image_name,luminance_std,contrast_text_vs_background,bright_dark_ratio
1,75.91643899871374,1.7084142359989585,0.3804691437210794
2,43.71547832143496,1.359970690117882,0.36243386243386244
3,68.004504661978,1.30421335448026,0.43028322440087147
4,75.08067957407482,5.2234944294194925,0.1308485329103886
5,53.535053151629,2.2204755535536607,0.2588782562466773
6,45.66690714327638,1.8785723265392857,0.06008006212178011
7,66.72656652926752,2.183149876376491,0.2639173060528559
8,94.7068630978077,2.999186797135443,0.46171916800428037
9,52.54637047011721,1.4263462255938317,0.9982938017453569
10,62.065757564921476,1.2680432703413447,0.8044367740309101
11,24.888991255330744,0.0,0.0
12,98.16050161358314,3.007548736727953,0.32189315288592263
13,102.0952420569991,4.154260116060535,0.3165451435772797
14,87.64777815849195,0.0,0.5233302021249028
15,51.03059848335174,2.415803259377024,0.0743864229765013
16,97.52283219601702,1.9354563430493188,0.35513687853996223
17,108.08506270526841,0.0,0.36294358875004035
18,68.3875082785591,3.737563880217076,0.15645351676978184
19,78.80495848307002,2.392318718535546,0.510809329065908
20,90.86483083839482,10.943679080177356,0.3735327384692723
21,109.34369621606184,3.1038708791044485,0.4152870635678659
22,89.47104637980654,4.1003925303432744,0.47187277263007843
23,50.641693264268945,1.5619061178677334,0.041046875
24,67.85827812311263,1.545774338226491,0.2612091222030981
25,45.09072155434365,2.6888346171763797,0.15064839375184202
26,85.43538042258463,1.5047964553222362,0.37729634831460673
27,97.61676297479339,3.189344639103868,0.3848835085440597
28,96.13652803180845,3.589447546413636,0.400777027027027
29,73.46029755196798,2.9837878418725956,0.14012859799376653
30,80.79788675924128,0.0,0.66635737009544
31,79.31972761141478,1.5533846003950575,0.42676811594202896
32,93.09269707628386,5.742855347991713,0.1810021569603451
33,96.01182538503805,0.0,0.3704028800258879
34,89.34155352985647,3.379867613993119,0.5059603870183964
35,47.04310762601318,2.6751237597368895,0.07636896834340744
36,59.31017252241176,1.4249841080534134,0.3718392707086654
37,36.03803302750516,1.0694200236534752,0.9253000904929203
38,87.12367088725082,2.7653342919345016,0.3704903251501842
39,81.832787201666,3.774230954501539,0.2890122265122265
40,79.42472429799551,2.2247677369249494,0.25560047720042417
41,36.42023914309062,1.4282855660116929,0.7240741465706232
42,78.0167011300967,1.6022981715539732,0.4172629564193168
43,84.85681456053324,2.40232663842488,0.3985982107242578
44,44.76025475162276,2.5824998287705108,0.09797214673913043
45,64.93753623641491,1.8796628199902072,0.16013981173864894
46,56.13007238277343,1.364487808388043,0.5119384974698327
47,52.49390150828616,0.0,0.8565199979330301
48,59.3923122727713,0.0,0.5526904738736985
49,72.82131556998804,0.0,0.7607589689478444
50,43.66811800768011,1.685585784455239,0.06611538461538462
51,113.46092713715481,6.792358104472856,0.6073173322005098
52,89.30415918452827,2.106157987976009,0.4959806397306397
53,55.77252095132629,1.0259704351532448,0.8997893366018078
54,73.4702393835785,1.9090254075716828,0.4470301418439716
55,83.02620141912246,0.0,0.8034171249018067
56,117.59522169771479,10.628080028615512,0.4003460207612457
57,41.17748487256283,0.0,0.8711036283672348
58,56.49371269958322,1.6162970025221979,0.75359396914446
59,36.2579688170196,1.2886399948373528,0.9999708930026778
60,112.95828863906162,7.849585102363106,0.38193333333333335
61,72.29910145869158,1.8525022373298496,0.21334586466165414
62,78.05203721934393,2.5150833326134845,0.2758156860040008
63,77.26934912107463,1.3757567288763222,0.4589456622414325
64,48.806681557415146,1.5683332605756786,0.10053702578828207
65,24.87329190877456,1.4559360478128598,0.0
66,63.915647151454806,1.4582140009155151,0.2393438772314438
67,79.5432030373121,0.0,0.7163098702708035
68,59.21223562458351,5.797107201877653,0.08977430419186762
69,81.22361146668021,4.679014972262809,0.2141519430275252
70,39.140148258606054,1.857223409943628,0.039268892074544336
71,51.03808640505607,2.5600639365314763,0.12628847270615565
72,63.10611917251542,2.1654445120187074,0.3343415389460424
73,72.11752874708041,2.4636509804318703,0.3038446054750403
74,31.98994546556645,1.1668236822759337,0.7359879434037465
75,62.49432124703207,1.2754217126367977,0.355592400782117
76,69.17987098206305,0.0,0.6038771186440678
77,67.14480990639429,1.9058442235505781,0.2642229102167183
78,47.660472179222616,2.94048341983992,0.0950829893360853
79,100.86891556607891,5.612577245202466,0.2797942386831276
80,83.7540339428491,0.0,0.6215901530272788
81,54.17690690709538,2.2623383651568507,0.1265787860208461
82,34.21072239758396,3.37469900831193,0.015004364906154517
83,79.2012200624467,8.382058396708011,0.1439142133586578
84,55.358565918962334,1.5634766231875523,0.186575735821967
85,75.07742142949928,1.499204751302088,0.5068228713809259
86,57.06784703125549,0.0,0.8530588235294118
87,56.994760399180024,0.0,0.8250521772127881
88,60.661260626553506,1.2229989501981655,0.3968126829807214
89,81.50903066246146,3.3051576480693847,0.2796916445623342
90,40.37026067527391,2.52657741684149,0.05112355933294701
91,60.84465806721817,1.492470000800727,0.3482092809693616
92,74.97983578250692,4.173819868867045,0.1610344827586207
93,89.55651490466016,0.0,0.5778733627838487
94,67.03570055405034,2.990662662884059,0.2125207756232687
95,38.16574028192639,1.867876206937491,0.09398557849885283
96,52.52838407629945,3.136329803209788,0.08331155497479933
97,56.97428766041963,2.8447355434741888,0.24432404540763675
98,58.664124237806384,1.465618921233876,0.22361042388256638
99,82.2417417382913,0.0,0.6495726495726496
100,63.09704279987989,1.1729317467603548,0.38741582491582494
101,82.97081491697608,2.2914091972384143,0.5038985066737148
102,69.27781172760497,1.6470631508003757,0.27924991877842753
103,116.15589135992087,13.153808320131347,0.3819453018891221
104,42.95581346264089,1.3950699687962023,0.9998984152783421
105,89.05032519689834,3.3930258961470017,0.25962528130069956
106,63.32315872016652,1.5239910249852013,0.5153295997717058
107,33.100697088042715,1.476255374660173,0.7545170454545455
108,75.40573536648041,2.3438537125628853,0.4001394214011851
109,41.81255611412515,1.3762343647136277,0.022013401296246286
110,89.21825078972023,2.8193134025317876,0.30771823390630265
111,39.81760207338569,4.040103157860098,0.0
112,98.61511892412182,3.9348662894022772,0.31021592442645074
113,97.29195472674022,1.7620225891726973,0.40007756536022265
114,78.26159529615131,4.516339054471573,0.1970455939480679
115,19.243658865039396,0.0,1.0
116,91.21772025237898,2.0977635761469955,0.32406455418843755
117,49.31840710382906,1.5090964365746835,0.13503002183406113
118,46.88061819956512,4.33524374156484,0.09762208454810496
119,33.593882651537776,3.4635817938771956,0.03807471264367816
