image_name,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,mean_luminance,mean_saturation
1,148.94816053511707,142.80008704815137,169.9570027947038,75.60114206616036,78.32069852513926,66.90293190496907,93.91391395977459,49.82143675264581,170.23544234205343,53.593802386142855,41.117706165165735,66.99056936895457,146.06789678838135,49.82143675264581
2,145.3522297808012,129.3167044595616,135.41732804232805,55.15740110941164,49.500891757937865,25.341361178126277,99.50907029478458,93.51039304610732,168.96362433862433,48.54415582870948,34.153920050213436,41.7913700728202,133.16632216553288,93.51039304610732
3,147.21173747276688,141.02219498910677,166.03540305010893,68.14873014998344,70.58917105734511,57.624317153888676,113.32693355119825,52.279411764705884,167.9873366013072,36.601684159317486,40.93653865484477,57.492932953871176,144.14404534313724,52.279411764705884
4,45.37655300026434,35.86968014803066,39.970896114195085,82.33126658269363,73.71289897725812,75.08745011029448,70.05189003436426,75.40219402590536,46.348215701823946,70.201989668523,91.21113588240178,82.13990276077966,38.186949109172616,75.40219402590536
5,115.14276220855169,125.25671375408217,119.30536948431686,69.44702638077375,55.49216931326934,50.73713776123451,86.36986405407458,124.67655122655123,155.27259436469961,38.11634093595036,48.176724327529435,60.64344160748593,122.67680059922536,124.67655122655123
6,81.88064652171585,33.01961053392599,28.37918384833717,71.21770363491542,42.696189231134404,42.15650418386352,24.59508046377122,134.26923231403632,81.96132785304985,49.500140071662656,89.19279174426102,71.15841975683942,43.0724279782306,134.26923231403632
7,92.73378090366582,74.85471014492754,87.80887148337595,71.67116993384606,67.27888827662083,70.27211605848824,94.8177642796249,116.37614556692242,106.67852195225916,59.116890579403865,79.59965688487253,69.66299947959061,79.59109103687128,116.37614556692242
8,142.476817482611,139.75535881487426,148.6287787586945,95.3781037530152,95.91735058164367,88.64853921893052,92.77920177902622,50.7639028223649,151.61453317281968,52.206456250034456,53.883948573651914,87.66840044046829,140.97460184757887,50.7639028223649
9,237.92507412172745,176.89455834638622,143.1026585925263,14.178822940552282,65.0930983716239,90.65206192995642,26.48088918102484,107.01611797941374,238.1865629894831,36.101139922707205,86.6519867422957,14.454653230852957,187.42987083799508,107.01611797941374
10,206.46248715313465,190.33410576121312,174.67604083848823,63.22916897273287,65.00263674601852,75.824127563998,45.36735247920262,76.65651845100739,219.23432197638115,44.22966138509219,69.16384773151859,44.895161814377055,192.63248735771492,76.65651845100739
11,183.05449623352166,45.30456685499058,39.087900188323914,49.77606842436905,15.178471777789609,13.431564158410124,3.500376647834275,203.6733757062147,183.05449623352166,20.18237003232354,17.408701235807197,49.77606842436905,74.14135850753296,203.6733757062147
12,90.46466753182548,98.70412340872575,103.93516716104314,100.84323213825546,97.70807668239557,95.37468624002973,68.15037541713015,92.7396026449141,106.76032783339512,46.182223154167026,86.98145197996827,94.07808343473471,97.33009644821405,92.7396026449141
13,84.63790057610946,83.68176703573678,83.34967706364209,102.92068000969192,101.9652753824943,102.13222420292983,39.1698060131425,31.633754163291027,85.66433747412009,47.95198555377066,46.511224414953986,102.40873982025474,83.8610641304348,31.633754163291027
14,117.03900783881835,126.47405011013215,130.57234711065044,81.59946171356295,89.7758673072611,93.3824074641379,78.73041105208603,24.21604528375227,130.87449792692408,42.01918796892516,26.230497068922777,93.07835408635167,124.76405716668825,24.21604528375227
15,51.2896135770235,41.29590078328982,44.034762402088774,53.983617606909036,51.78465440922228,53.97815734560428,51.44567101827676,117.45426631853786,60.52327937336815,62.87303447028794,74.86095338594616,57.79137066505966,43.61830993211489,117.45426631853786
16,152.08567270520544,97.65281960801941,93.76715476939674,76.09770812247676,107.57772791526737,109.96481931019697,24.326890227456623,146.25549536995416,152.21333610536726,50.20246334597331,105.70017490358434,76.2672908985001,108.94469917513261,146.25549536995416
17,94.7997997997998,100.04911362975879,102.98642190577675,110.16829096821793,107.47434158222336,105.75609617120122,80.08342213180923,80.22186702831864,103.07912751461139,40.152613775498345,77.35848243219694,105.88352319855946,99.14518316703801,80.22186702831864
18,50.422012373819605,65.67358962878541,75.67826033865191,68.23573551009194,69.10370755892559,69.31687426943473,101.71361120156301,121.61569928362097,76.4584825789645,16.201347361182695,56.9558228209098,69.3897118671224,63.15344152963204,121.61569928362097
19,144.8895136913229,145.31756015884307,137.15978396159318,79.90151351472454,78.193950816214,79.98287007193568,50.21624585111427,26.308751185395923,147.18369932432432,36.731613721683956,27.84313105821282,78.71324679236456,144.63756603840685,26.308751185395923
20,79.1404989317582,78.55423526454695,77.57154078170164,91.06138909570416,90.86295659583794,90.45395583167773,26.175348749528716,31.760449918310922,79.31181978132462,44.95362277848629,54.21151294166281,90.99171752325071,78.6079243785346,31.760449918310922
21,114.78221726980084,116.61933566804628,120.16080335349676,110.63771698203749,109.26377287913438,106.51336248331269,80.18718384095652,49.7039247939439,120.97378754112279,45.40250048189,60.49651798053744,106.52253367880054,116.4844582634688,49.7039247939439
22,112.08300962223807,124.91202779757663,136.2646560940841,93.22998102581828,89.18487366524127,83.99840653455811,99.34828937990021,89.68035459729151,136.5971756949394,30.195606756987555,89.74171782626176,84.09209560136398,123.00423829650747,89.68035459729151
23,120.288640625,32.761796875,64.2000625,89.8129503243513,29.35670988923996,62.596471595811714,122.686015625,194.0986328125,120.423921875,73.72888039589986,37.991618294444876,89.70850708471194,53.639846634375004,194.0986328125
24,78.74517355134824,76.32805507745267,59.14524526678141,65.54593794984955,70.10638284581387,67.59321973743181,28.22906626506024,131.44244836488812,83.82809093516924,21.50551244133952,81.76865884690461,67.58015226787468,75.60133559667239,131.44244836488812
25,43.066990863542586,80.94081196581196,87.64437076333628,30.98289780942495,54.88798278188325,39.116158075272274,97.70562923666373,147.53488800471558,95.71690981432361,13.777099945220652,32.55119421250612,49.163774615000584,73.37283454465073,147.53488800471558
26,96.91030196629214,96.63779494382023,90.2740308988764,89.50367763169353,85.55410027784298,78.17367651070552,66.8783356741573,88.0970786516854,105.11297050561798,45.65409278433698,64.50535471113484,86.32043125140575,96.2362661727528,88.0970786516854
27,129.0708182814466,118.78881864675083,108.65076409465438,93.8816802488228,98.74774938438888,103.41888636691942,22.529914356455738,78.64619271826928,129.15480780939237,32.7645475211081,72.5336378207673,93.99334641601176,120.24280423042578,78.64619271826928
28,100.89175675675676,100.08038288288289,97.4091554054054,98.30946287416349,95.5662328828519,94.3166344583436,58.367353603603604,55.99796171171171,103.69917792792793,46.82127119658903,58.7069526622833,96.21104635521387,100.06001834459458,55.99796171171171
29,54.68179199078075,57.70015845577643,55.63426180561012,73.69616382683024,73.34260620573748,73.57526314643555,58.674596003247686,31.17030722086902,57.925146015033654,31.923145809915592,27.69692856999958,73.35668828166826,56.909296007176344,31.17030722086902
30,180.0280686638388,189.01413374867445,198.11333510074232,89.28067175606773,78.51204654409939,70.44947028191794,109.09681534994698,42.314571182396605,198.19217258748674,23.759026479948492,56.255693547441915,70.50830576681498,187.76065864925766,42.314571182396605
31,137.0418115942029,112.05722463768116,62.77878260869565,83.438612892094,80.06423033393992,78.56380996858378,21.944333333333333,166.65164492753624,137.11914492753624,16.91213790356098,74.11021348604189,83.52814838486228,113.81104431014492,166.65164492753624
32,46.83652314584371,47.04031856645097,47.196407831425255,93.10485484794111,93.09147204423286,93.07510156667406,7.4220258835241415,5.34362037497926,47.19925335988054,27.10311032020087,25.51314971527498,93.07660866129564,47.00826130496101,5.34362037497926
33,101.0533896933905,94.65512094490737,37.95861176280236,108.64396102596413,101.79371442068182,34.27354179954511,40.76094167138581,113.67330717579483,101.7532319391635,40.90025819809407,77.98484358539245,108.08544250688654,91.92190491788688,113.67330717579483
34,107.01358035404374,109.69048832870531,114.80843782540785,89.57518205245083,89.29159928814767,88.95496742122091,106.30109445505033,49.86205961471711,114.80908321763276,21.491008682685855,53.30799528894486,88.95459705164484,109.49089364695418,49.86205961471711
35,63.90710480483557,33.25202976129495,38.59666017826042,54.17782393772042,46.00753845587277,50.11400618114171,79.58382850117816,169.6627202643172,68.16027430591127,78.24428802133308,66.81249406907251,53.77573546935977,40.15518103165659,169.6627202643172
36,159.2879478495582,128.1823546637468,107.03335158259276,89.44961033863677,74.0308367497243,59.328120790413614,51.65302004023325,174.55992335311043,204.26947365740622,47.50556530878416,43.1395138197373,44.203453461598215,133.26844575259096,174.55992335311043
37,204.6541274087086,183.08452437985733,161.95104399552858,33.83664879534001,40.99571055457213,41.88719435463416,37.92787181944001,69.19509874374535,209.7232879537954,44.036811026021105,36.93656240391532,25.63418835202566,186.14438470004256,69.19509874374535
38,94.8904014869066,79.99823540475057,62.593501421633164,107.12383798299328,86.58629556296957,61.92605761709798,94.29670092599763,160.30001438228103,102.55121751540564,50.49517454987721,62.59989697254828,101.00545567936028,81.90768812023585,160.30001438228103
39,97.89431651038794,76.03970169148741,69.89158163265306,88.9104106469188,81.68780985548922,76.11217346119643,91.99169194704909,109.23706104063247,99.33617163081449,73.02650314902384,66.94814807101129,89.99267977387714,80.24209853373782,109.23706104063247
40,99.45925569989396,106.66887592788972,110.67787314422057,84.25134362096195,79.13371341363363,83.80620043116865,68.71628115058324,135.5153764581124,129.91531349416755,45.15600625187156,83.03297323513026,68.12889765369039,105.42556026643689,135.5153764581124
