image_name,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,mean_luminance,mean_saturation,dominant_rgb_0,dominant_rgb_1,dominant_rgb_2,dominant_hsv_0,dominant_hsv_1,dominant_hsv_2,warm_percentage,cold_percentage,unique_colors,quantized_colors,luminance_std,contrast_text_vs_background,bright_dark_ratio
128_aug_190,126.49899071306774,135.0950557999485,123.10673442507957,85.26326846457698,78.38431720536462,45.11809754897494,77.10939476364776,93.80753028793595,151.43653805254263,38.92646174801029,32.861062524189336,71.7938154605487,132.40197555921208,93.80753028793595,75,91,116,108,90,116,29.069329243948943,57.67748338687591,64684,16,75.4948980294365,1.721133561292523,0.3744174679397487
130_aug_176,128.77732240437157,133.92252146760345,138.38114754098362,89.41961884133342,86.52166859401086,84.7803809492665,90.54173636667782,39.6941470577302,138.48249135719863,32.73086692780185,40.242266951333576,84.88456136960164,133.15056494925838,39.6941470577302,227,228,230,110,3,230,1.119846845842162,75.88007880747928,19879,16,87.15894205503977,3.1461445036076947,0.49378275900524143
134_aug_144,95.1042246734509,96.16409725701489,93.55062572037924,71.45513120000065,73.50504192230727,75.0428683640714,38.686181586216904,48.92927484333035,101.70203608945981,36.98996512816024,34.21964608572776,71.86155326872144,95.75007570080406,48.92927484333035,49,44,40,13,47,49,55.632852304802896,17.528383968635953,75701,16,72.68971808597382,1.8466699112861755,0.2492067272811895
134_aug_44,95.23981830410044,96.28832481077792,93.6890112412328,71.89827057152148,73.9400184891561,75.47587924463001,38.584624171319376,48.960623658898506,101.81742604592571,37.060212023423304,34.154761336792184,72.2891933161051,95.8777418877371,48.960623658898506,49,44,40,13,47,49,55.95235553467916,17.527996327650445,76203,16,73.13056090132828,1.7725368544174078,0.2485801671773083
138_aug_129,39.77067808832849,36.864688271672385,29.726644959681824,47.75197823961328,39.277002166518095,21.848417038959177,69.30165424706628,83.7467275627718,43.265247700006555,45.77638346768449,48.51955449491252,46.2928664969438,36.96713497956775,83.7467275627718,22,23,22,60,11,23,36.699372828390985,43.05631432879527,16814,16,39.64634564200362,2.6373503218940884,0.06149341142020498
138_aug_61,39.51572741976675,36.64327062228654,29.44281518685622,48.450020800474896,39.823866410440786,22.015278744053802,68.76400357538095,82.04035072784541,42.927939048267646,45.06233115763145,48.231783719193224,47.01486201613414,36.73408205499276,82.04035072784541,22,22,22,0,0,22,35.7133736273091,42.56618711160296,16514,16,40.21579888459324,2.6470829521753,0.06452711330552481
138_aug_77,40.326850924234385,37.353193077572826,30.017070343960555,48.286724121571396,39.68247417096547,22.117938804547794,68.90490502288486,84.10248099475514,43.85007955683894,45.26957614808957,48.07889866582907,46.79951145095973,37.45572467440627,84.10248099475514,22,23,22,60,11,23,36.96741116152985,43.375174337517436,18392,16,40.07709475239371,2.272665742780741,0.0637436894729605
139_aug_103,47.2828621031746,41.06346106150794,33.00038752480159,66.47199002422414,55.82698416258565,36.70429426489256,89.20444258432539,94.24207899305556,51.49449714781746,45.615526611961066,51.622346890476386,64.56570468487693,41.803551813616075,94.24207899305556,17,17,20,120,38,20,25.668092757936506,67.33475942460318,18770,16,55.854913845531094,3.494452076961787,0.10346912202380952
139_aug_20,48.05233324804661,41.744198862406265,34.07662028380798,66.29803398798022,56.15456704736223,38.34419907538035,89.31527878919088,92.22094510815013,52.15975516148714,46.21925591752728,52.26241129643641,64.43133464214355,42.5317090594186,92.22094510815013,18,18,21,120,36,21,25.95996772225393,66.48231612509595,16061,16,56.15093436454552,3.4608654129399805,0.10523726111515676
139_aug_5,48.09973332433162,42.31126789089927,36.84563192006481,65.11524579446204,56.575667595528145,43.758306211535206,90.55974885228193,86.69830205238995,52.22029435592763,46.24612377817556,53.055107699106195,63.277449044843046,43.14727672495273,86.69830205238995,18,18,21,120,36,21,24.28267620847961,67.17188765865515,17760,16,56.63604238195336,3.692214445456912,0.10624831217931408
139_aug_6,50.62956791058594,45.114342944671684,41.017758252116685,66.35307156843967,58.9808856734352,49.22151801566138,92.93283845881938,79.86096382702958,54.85268225353061,45.189651441175215,54.03709467476236,64.4369923688408,45.99110635762258,79.86096382702958,19,19,23,120,44,23,21.552290057062063,69.29758117456952,16754,16,59.04279991225597,3.4794757060825905,0.11781043276271272
139_aug_71,48.03463203463203,41.72951223693798,34.051990913377054,66.30566471601875,56.15620293200131,38.32098423465772,89.31078822167932,92.26118683296902,52.143917963224894,46.178987710259776,52.26288348219139,64.43877886600065,42.515663666366635,92.26118683296902,18,18,21,120,36,21,26.06939265355107,66.54879773691655,25435,16,56.1545311062996,3.400953690244726,0.10458188676010458
139_aug_99,47.73865497076024,41.527992202729045,35.03292397660819,64.97753685133988,55.643291447427735,40.38612595215421,90.00167641325537,90.08469785575049,51.825341130604286,46.513453136978626,52.90560702915336,63.15304364145742,42.379435181286546,90.08469785575049,18,18,21,120,36,21,25.725146198830412,66.49122807017544,16376,16,55.65386260767821,3.635089439197465,0.10354775828460039
142_aug_107,239.88446904185403,239.8891732964372,237.9639801683385,31.12865230165187,31.408025923304155,30.80051964721838,33.051700680272106,2.213928283177678,240.03608901187593,25.840950738843407,0.9549085182704888,31.166651105684384,239.74917422806405,2.213928283177678,251,251,249,30,2,251,10.273261847111726,0.06226219301279834,1466,16,31.29386392794213,1.116041699081998,0.9970252507782774
142_aug_119,239.49279372766057,239.4935547100196,237.58614089703678,31.45265384398692,31.72049668639942,31.125878730996995,32.67828894269572,2.1932895191975095,239.63791075752334,25.025999075933193,0.9432880768584935,31.487251139349755,239.35567764787262,2.1932895191975095,251,251,249,30,2,251,10.137207425343018,0.057650178715554015,1515,16,31.615992356059625,1.0726657450448052,0.9974864522080018
142_aug_155,239.79468838769293,239.81200588658064,237.89279236113487,31.063987144180615,31.281615294516396,30.748959888817698,31.735514562442248,2.1689311749204285,239.93350217324343,22.08726075672131,0.926435360864612,31.0904590915285,239.66975696977988,2.1689311749204285,251,251,249,30,2,251,8.771689653992265,0.08042711934015537,1611,16,31.20290703553923,1.0035314723732087,0.9977583079503063
142_aug_4,240.27078973882044,240.27900488258544,238.328993257382,30.762813731370564,31.045176933892787,30.439712979044195,33.010772688522046,2.2358624609263997,240.4252757756594,25.483615740463062,0.9582001916718424,30.800895509357346,240.13646750368127,2.2358624609263997,251,251,249,30,2,251,10.230179028132993,0.07491797773127695,1423,16,30.931872875339646,0.0,0.9971841173887209
144_aug_73,140.34237108407302,103.98699185505471,121.00436956660846,92.0701309748417,78.93463655780543,80.049523028307,158.19694130337408,87.84379256442368,142.07846023054492,25.06369954568013,44.472381511828885,90.33148936527009,112.94480014991817,87.84379256442368,207,143,167,169,79,207,80.25742049308457,15.650910021665007,34137,16,82.06543884637608,3.386716212954777,0.5218432623659649
154_aug_38,39.82834962223608,30.835197892839815,26.100069314479796,75.09895540922672,55.3906893361512,19.879192269646722,102.18854231648992,174.22295002426006,48.94524156096208,45.615684967475524,53.72383292332931,71.02232860921137,32.40526566715187,174.22295002426006,8,7,18,123,156,18,27.09087128301102,71.31974769529354,18707,16,57.01351546033587,4.210103067850069,0.12825258196437236
